2026-02-21 12:13:03,999 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-21 12:13:04,005 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-21 12:13:04,006 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-21 12:13:06,638 - CAMERA: 3 | NAME: Camera 3 | CHANGE: offline -> online
2026-02-21 12:13:06,642 - CAMERA: 2 | NAME: Camera 2 | CHANGE: offline -> online
2026-02-21 12:13:06,644 - CAMERA: 1 | NAME: Camera 1 | CHANGE: offline -> online
2026-02-21 12:19:49,600 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-21 12:19:49,617 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-21 12:19:49,684 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-21 12:19:51,854 - CAMERA: 1 | NAME: Camera 1 | CHANGE: offline -> online
2026-02-21 12:19:51,858 - CAMERA: 3 | NAME: Camera 3 | CHANGE: offline -> online
2026-02-21 12:19:53,704 - CAMERA: 2 | NAME: Camera 2 | CHANGE: offline -> online
2026-02-21 12:21:45,803 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-21 12:21:45,806 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-21 12:21:45,810 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-21 12:21:48,242 - CAMERA: 1 | NAME: Camera 1 | CHANGE: offline -> online
2026-02-21 12:21:50,059 - CAMERA: 3 | NAME: Camera 3 | CHANGE: offline -> online
2026-02-21 12:21:50,061 - CAMERA: 2 | NAME: Camera 2 | CHANGE: offline -> online
2026-02-21 12:52:27,166 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-21 12:52:27,174 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-21 12:52:27,184 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-21 12:52:29,322 - CAMERA: 2 | NAME: Camera 2 | CHANGE: offline -> online
2026-02-21 12:52:44,419 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-21 12:52:44,424 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-21 12:52:44,428 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-21 12:52:46,552 - CAMERA: 3 | NAME: Camera 3 | CHANGE: offline -> online
2026-02-21 12:52:46,554 - CAMERA: 2 | NAME: Camera 2 | CHANGE: offline -> online
2026-02-21 12:52:48,366 - CAMERA: 1 | NAME: Camera 1 | CHANGE: offline -> online
2026-02-21 12:55:25,021 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-21 12:55:25,028 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-21 12:55:25,038 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-21 12:55:27,233 - CAMERA: 1 | NAME: Camera 1 | CHANGE: offline -> online
2026-02-21 12:55:29,069 - CAMERA: 3 | NAME: Camera 3 | CHANGE: offline -> online
2026-02-21 12:55:29,072 - CAMERA: 2 | NAME: Camera 2 | CHANGE: offline -> online
2026-02-21 12:56:36,455 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
2026-02-21 12:56:36,458 - CAMERA: 3 | NAME: Camera 3 | CHANGE: unknown -> offline
2026-02-21 12:56:36,474 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-21 12:56:40,312 - CAMERA: 3 | NAME: Camera 3 | CHANGE: offline -> online
2026-02-21 12:56:40,315 - CAMERA: 2 | NAME: Camera 2 | CHANGE: offline -> online
2026-02-21 12:56:40,317 - CAMERA: 1 | NAME: Camera 1 | CHANGE: offline -> online
2026-02-21 12:56:56,359 - CAMERA: 2 | NAME: Camera 2 | CHANGE: unknown -> offline
2026-02-21 12:56:56,363 - CAMERA: 1 | NAME: Camera 1 | CHANGE: unknown -> offline
